	R4_1	R3_3	R3_1	R4_2	R1_4	R2_2	R2_1	R3_4	R4_3	R3_2	R4_4	R2_3	R1_1	R1_2	R2_4	R1_3
OTU03025	2	1	1	6	3	2	4	4	8	3	6	2	4	3	2	5
OTU03026	1	1	3	1	0	0	0	3	1	1	2	0	0	0	0	0
OTU03027	3	1	1	0	0	0	0	0	3	1	1	0	0	0	0	0
OTU03028	7	5	1	0	5	0	0	0	0	0	5	0	0	0	0	0
OTU03029	4	3	2	4	5	2	4	1	9	2	9	5	5	5	3	15
OTU03030	6	1	10	7	0	0	0	3	16	1	14	0	0	0	0	0
OTU03031	4	2	4	2	40	2	0	0	0	0	17	0	3	12	0	0
OTU03032	4	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0
OTU03033	3	1	3	0	0	0	0	2	0	2	1	0	0	0	0	0
OTU03034	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU03035	5	2	2	1	1	0	0	0	1	1	7	0	0	1	0	0
OTU03036	14	0	3	0	2	0	0	1	1	0	1	0	0	0	0	0
OTU03037	1	0	11	7	0	0	0	3	4	1	15	0	0	0	0	0
OTU03038	17	21	17	15	37	8	31	13	29	13	29	14	15	19	14	32
OTU03039	2	0	3	2	0	0	0	1	2	1	5	0	0	0	0	0
OTU03040	3	0	2	0	0	0	0	1	2	1	1	0	0	0	0	0
OTU03041	2	1	1	0	0	0	0	2	1	0	0	0	0	2	0	0
OTU03042	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU03043	1	2	0	0	1	0	0	0	1	0	1	0	0	0	2	3
OTU03044	4	1	1	0	3	0	0	0	0	0	0	0	0	1	0	0
OTU03045	5	4	2	0	5	0	1	4	0	0	5	0	12	5	2	0
OTU03046	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU03047	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0
OTU03048	4	2	4	5	7	2	5	3	8	5	1	0	7	5	4	4
OTU03049	4	0	1	1	2	0	1	0	1	0	1	0	0	3	0	0
OTU03050	4	1	0	1	7	0	0	0	0	0	2	0	0	1	1	0
OTU03051	3	10	5	6	3	2	1	5	8	7	8	6	4	4	4	8
OTU03052	1	0	3	1	0	0	0	0	0	1	2	2	0	0	0	1
OTU03053	2	0	3	0	1	0	0	0	0	0	4	0	4	2	0	0
OTU03054	5	4	3	0	15	0	3	0	0	0	1	1	1	2	0	0
OTU03055	9	6	4	0	14	0	0	0	0	2	9	0	1	2	0	0
OTU03056	5	1	4	4	5	9	9	1	5	0	4	3	21	5	3	7
OTU03057	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0
OTU03058	7	2	2	1	0	2	0	3	1	1	2	0	2	0	1	1
OTU03059	1	2	2	1	1	3	1	0	4	0	3	0	3	0	1	4
OTU03060	18	27	18	23	40	16	20	27	47	21	29	11	40	31	13	22
OTU03061	2	1	0	5	0	0	0	2	4	1	2	0	0	0	0	0
OTU03062	13	14	9	16	23	4	22	12	15	7	18	12	13	21	12	14
OTU03063	6	1	5	0	17	1	0	0	0	0	1	0	2	3	1	2
OTU03064	2	0	0	0	2	2	1	1	4	2	1	1	3	0	2	0
OTU03065	4	2	12	4	0	0	0	1	13	2	14	0	0	0	0	0
OTU03066	5	2	1	3	9	4	2	5	10	2	3	2	6	9	3	8
OTU03067	2	17	7	1	8	1	3	1	2	1	9	5	6	3	2	6
OTU03068	12	23	18	18	36	11	20	20	47	19	25	19	27	23	18	32
OTU03069	1	1	0	0	2	0	1	2	0	0	1	1	1	2	1	1
OTU03070	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU03071	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU03072	5	8	3	8	3	1	5	1	10	1	9	2	7	5	1	6
OTU03073	1	1	0	0	0	0	0	0	0	0	2	0	1	0	1	0
OTU03074	12	2	17	1	0	0	0	5	8	1	17	0	0	0	0	0
OTU03075	2	1	2	0	0	0	0	0	0	0	6	0	0	0	0	0
OTU03076	1	0	1	0	7	0	1	0	0	0	4	0	0	1	0	0
OTU03077	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU03078	7	2	8	1	4	0	6	1	2	3	5	1	2	0	1	0
OTU03079	2	0	1	0	5	1	0	1	0	0	3	0	1	3	0	0
OTU03080	2	0	0	0	10	3	0	0	0	0	7	0	4	6	0	0
OTU03081	2	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU03082	1	0	8	1	0	0	0	0	5	0	7	0	0	0	0	0
OTU03083	7	0	8	0	5	2	1	0	3	0	3	0	19	8	1	0
OTU03084	12	4	13	15	0	0	0	5	32	13	37	0	0	0	0	0
OTU03085	15	2	21	4	0	0	0	5	21	6	17	0	0	0	0	0
OTU03086	1	4	0	0	7	1	2	0	6	4	2	1	6	2	1	7
OTU03087	1	2	14	0	0	0	0	4	4	2	11	0	0	0	0	0
OTU03088	1	0	2	0	0	0	0	0	2	1	2	0	0	0	0	0
OTU03089	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU03090	2	0	5	0	4	0	0	1	0	0	1	0	1	0	0	0
OTU03091	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU03092	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU03093	4	1	4	0	19	0	6	0	1	0	1	0	13	2	1	0
OTU03094	2	0	0	1	0	0	2	0	0	0	1	1	0	0	1	0
OTU03095	5	3	5	4	1	2	5	3	3	2	11	1	2	2	0	2
OTU03096	1	0	1	1	1	0	0	1	0	2	2	0	0	2	0	1
OTU03097	3	0	1	0	2	0	0	0	1	0	1	0	0	1	0	0
OTU03098	1	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0
OTU03099	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU03100	5	6	13	0	8	10	8	6	0	2	25	1	14	4	2	11
OTU03101	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU03102	2	0	1	1	0	0	0	0	4	0	1	0	0	0	0	0
OTU03103	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU03104	3	0	6	0	3	0	0	0	0	0	1	0	2	2	1	0
OTU03105	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU03106	1	0	1	1	2	0	1	0	0	0	0	1	0	1	1	1
OTU03107	7	9	4	8	10	4	7	5	16	7	12	5	9	5	4	11
OTU03108	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU03109	2	1	3	0	2	0	0	1	0	0	0	0	1	0	0	0
OTU03110	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0
OTU03111	2	2	1	2	2	0	3	2	3	1	1	3	5	4	1	6
OTU03112	1	0	4	4	0	0	0	5	4	3	4	0	0	0	0	0
OTU03113	2	2	1	0	5	2	3	1	1	1	3	0	1	4	2	5
OTU03114	4	1	9	1	0	0	1	4	5	7	10	0	0	0	0	0
OTU03115	4	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0
OTU03116	5	1	0	1	28	0	1	1	0	0	15	0	1	20	0	0
OTU03117	1	0	3	0	6	0	0	0	0	0	1	0	1	0	0	1
OTU03118	6	5	2	0	1	0	0	0	0	0	9	0	0	1	0	1
OTU03119	1	1	1	0	8	0	1	2	0	0	6	0	1	6	0	0
OTU03120	4	5	9	5	2	0	0	4	8	2	15	0	0	0	0	0
OTU03121	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
OTU03122	1	3	2	0	4	0	0	1	1	0	3	0	0	0	1	0
OTU03123	3	1	2	1	0	1	0	1	4	1	6	0	1	0	0	1
OTU03124	5	1	0	0	0	0	0	1	0	0	13	0	0	0	0	0
OTU03125	2	0	1	0	0	0	0	0	6	0	3	0	0	0	0	0
OTU03126	5	0	2	0	3	1	1	0	0	0	0	0	3	3	0	0
OTU03127	2	1	0	1	1	0	0	2	3	1	2	0	0	0	0	0
OTU03128	5	3	2	5	23	1	0	0	1	1	6	0	0	7	0	0
OTU03129	3	0	1	1	2	0	0	2	1	1	0	1	0	0	0	1
OTU03130	1	2	2	0	0	0	0	0	2	3	0	0	0	0	0	0
OTU03131	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU03132	5	11	4	6	7	4	5	5	13	6	3	6	8	5	3	11
OTU03133	21	13	43	7	108	6	8	0	0	0	37	0	14	42	0	6
OTU03134	10	1	4	1	0	0	0	0	3	0	1	0	0	1	0	0
OTU03135	3	0	8	0	0	0	0	2	4	3	8	0	0	0	0	0
OTU03136	5	1	1	0	2	0	1	0	0	0	1	0	0	0	0	0
OTU03137	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU03138	1	3	4	3	7	0	3	4	10	1	4	3	3	9	4	10
OTU03139	2	3	13	6	0	0	0	2	14	3	24	0	0	0	0	0
OTU03140	3	8	4	7	12	2	2	6	11	4	5	2	6	11	5	5
OTU03141	6	8	13	0	17	3	0	0	0	0	5	0	3	7	2	1
OTU03142	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU03143	5	3	12	4	0	0	0	4	4	2	11	0	0	0	1	0
OTU03144	2	0	1	0	2	0	0	0	0	0	0	1	1	1	0	0
OTU03145	4	3	5	0	16	2	2	0	0	0	5	0	9	3	1	0
OTU03146	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU03147	2	1	4	2	23	0	0	1	1	0	5	0	4	8	0	0
OTU03148	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
OTU03149	1	2	1	0	4	0	1	1	0	0	2	1	4	2	1	2
OTU03150	3	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU03151	4	1	3	2	0	0	0	2	4	1	2	0	0	0	0	0
OTU03152	4	4	14	2	0	0	0	4	7	2	14	0	0	0	0	0
OTU03153	5	3	11	6	3	1	4	6	16	2	15	0	0	1	1	3
OTU03154	1	2	2	1	2	2	3	1	0	1	2	0	1	3	0	0
OTU03155	8	7	19	5	0	0	0	2	3	4	4	0	0	0	0	0
OTU03156	3	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU03157	2	0	1	3	7	2	0	0	0	0	3	0	2	1	1	0
OTU03158	3	8	15	10	15	7	12	4	15	12	15	12	5	12	7	11
OTU03159	7	3	21	4	30	5	1	4	0	0	8	0	5	7	0	2
OTU03160	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU03161	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU03162	1	1	0	0	1	0	0	0	0	0	1	0	1	1	0	0
OTU03163	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU03164	1	0	3	2	14	1	0	0	0	0	4	0	1	6	0	0
OTU03165	4	1	0	0	2	0	0	0	0	0	2	0	2	1	0	0
OTU03166	7	2	1	1	2	0	0	1	0	0	6	0	1	1	1	1
OTU03167	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1
OTU03168	1	1	0	1	0	0	0	0	0	1	3	0	1	0	0	0
OTU03169	2	1	0	0	1	0	1	0	0	0	5	0	0	3	0	0
OTU03170	3	0	5	3	1	2	0	5	6	2	20	2	0	0	1	0
OTU03171	6	1	7	0	19	2	4	0	0	1	5	3	14	8	1	0
OTU03172	5	2	11	3	40	3	1	0	1	0	9	0	3	4	0	2
OTU03173	4	3	0	0	0	0	0	0	1	0	2	0	0	0	0	0
OTU03174	1	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0
OTU03175	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0
OTU03176	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU03177	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU03178	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU03179	4	0	1	0	7	1	1	1	2	1	4	0	0	0	0	0
OTU03180	1	0	1	0	1	0	0	0	0	0	2	1	0	1	0	0
OTU03181	6	9	8	7	6	4	7	3	7	7	16	1	4	5	6	9
OTU03182	4	12	9	5	14	7	10	6	13	11	19	7	5	4	11	17
OTU03183	2	1	9	0	0	0	0	0	3	0	5	0	0	0	0	0
OTU03184	11	42	18	22	46	16	37	19	48	17	31	22	25	28	14	35
OTU03185	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU03186	4	0	2	5	4	0	1	1	0	0	2	0	1	3	0	0
OTU03187	2	0	4	5	0	0	0	1	5	2	3	0	0	0	0	0
OTU03188	3	1	2	0	0	0	0	0	1	0	2	0	2	2	0	0
OTU03189	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU03190	1	0	1	0	1	0	1	0	3	0	0	0	0	0	0	0
OTU03191	6	0	6	0	13	3	1	3	0	0	8	0	1	6	0	0
OTU03192	2	0	2	0	1	0	1	0	0	1	1	0	1	0	0	0
OTU03193	1	1	0	0	0	0	1	0	1	1	2	1	2	2	0	0
OTU03194	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU03195	1	2	0	0	1	0	0	0	3	0	2	0	1	0	0	0
OTU03196	2	0	1	1	0	0	0	1	1	1	6	0	0	0	0	0
OTU03197	7	18	12	7	13	6	12	9	16	13	11	7	14	9	12	19
OTU03198	4	6	6	8	9	4	6	7	22	4	11	6	15	9	9	10
OTU03199	3	1	4	3	0	0	0	1	6	4	4	0	0	0	0	0
OTU03200	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU03201	1	5	10	5	11	6	5	7	10	8	11	1	7	7	8	13
OTU03202	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0
OTU03203	5	0	0	1	1	0	1	1	5	1	2	0	3	1	0	3
OTU03204	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU03205	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU03206	1	1	3	0	5	0	0	0	0	0	2	0	2	1	0	0
OTU03207	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU03208	7	3	2	0	0	1	2	1	6	1	12	0	0	1	0	0
OTU03209	8	14	5	9	19	10	10	16	25	7	20	4	14	13	7	12
OTU03210	3	3	1	0	0	0	0	2	2	0	8	0	0	0	0	0
OTU03211	4	3	8	11	0	0	0	4	8	1	8	0	0	0	0	0
OTU03212	1	1	0	10	14	0	0	1	0	0	4	0	2	1	0	0
OTU03213	2	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0
OTU03214	4	0	2	0	4	1	0	0	0	0	3	0	1	3	0	0
OTU03215	2	1	0	0	1	1	0	0	1	0	0	1	0	0	2	0
OTU03216	1	3	1	1	2	1	0	1	5	0	1	1	1	0	0	7
OTU03217	2	6	1	3	8	4	4	3	8	2	5	2	6	6	6	1
OTU03218	5	2	1	3	18	2	0	0	0	0	8	0	3	13	0	0
OTU03219	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU03220	6	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
OTU03221	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	4
OTU03222	3	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0
OTU03223	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
OTU03224	6	2	3	0	17	5	1	0	0	0	9	0	9	11	0	0
OTU03225	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU03226	9	0	2	2	2	4	9	1	3	0	2	3	10	3	2	1
OTU03227	3	4	6	3	0	0	0	1	13	1	14	0	0	0	0	0
OTU03228	1	9	1	9	12	3	5	8	14	8	10	6	3	9	6	10
OTU03229	3	13	14	9	10	6	7	14	21	9	19	8	14	9	11	10
OTU03230	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0
OTU03231	5	0	0	1	1	1	1	1	0	0	3	0	10	0	1	0
OTU03232	4	6	2	0	0	0	0	3	5	0	3	0	0	0	0	0
OTU03233	5	6	0	0	0	1	0	0	4	0	2	0	0	0	0	0
OTU03234	8	0	6	0	10	2	1	3	0	0	2	1	10	7	1	0
OTU03235	2	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0
OTU03236	6	1	2	0	3	0	0	0	0	0	3	0	3	2	0	2
OTU03237	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU03238	3	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU03239	2	1	3	1	12	1	0	0	0	0	6	1	2	1	0	0
OTU03240	5	3	1	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU03241	6	14	10	14	19	3	15	17	27	11	12	11	28	18	7	25
OTU03242	1	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0
OTU03243	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU03244	5	0	0	0	1	0	1	0	0	0	0	0	2	0	0	1
OTU03245	2	7	10	0	68	0	0	0	0	2	25	0	0	20	1	0
OTU03246	10	6	8	10	11	4	6	7	9	2	7	4	9	6	8	6
OTU03247	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1
OTU03248	1	4	3	8	10	4	4	3	5	1	0	1	7	10	2	5
OTU03249	2	7	4	4	5	3	4	6	6	1	4	4	8	1	2	2
OTU03250	5	0	1	7	3	4	9	0	3	4	9	1	19	1	2	4
OTU03251	4	3	4	0	6	4	4	1	5	1	7	2	4	3	2	2
OTU03252	5	6	2	3	6	8	4	6	4	5	5	3	7	2	2	6
OTU03253	2	0	0	0	0	0	2	1	0	0	1	0	2	0	0	0
OTU03254	4	1	3	0	10	1	0	0	1	0	1	0	4	6	0	0
OTU03255	4	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU03256	2	0	1	0	4	1	0	0	0	0	2	0	0	2	0	0
OTU03257	11	17	12	15	32	11	17	13	29	14	18	12	25	23	20	28
OTU03258	7	1	1	0	11	1	1	2	0	0	5	0	5	2	0	0
OTU03259	4	5	12	3	0	0	0	4	5	5	14	0	0	1	0	0
OTU03260	5	5	0	6	4	2	7	1	5	7	3	1	3	6	5	5
OTU03261	8	0	1	0	5	0	0	0	0	0	3	0	0	4	0	0
OTU03262	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU03263	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
OTU03264	2	0	3	0	4	0	1	0	0	0	1	0	0	2	1	0
OTU03265	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU03266	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0
OTU03267	4	5	4	4	6	1	3	2	4	6	8	0	11	6	3	3
OTU03268	1	0	1	0	0	2	0	0	0	0	0	0	2	0	0	0
OTU03269	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU03270	8	2	5	0	0	1	1	2	5	0	2	0	0	0	0	0
OTU03271	16	4	10	0	17	5	4	1	5	0	9	0	14	3	1	0
OTU03272	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU03273	4	1	1	0	4	0	0	0	0	0	0	0	2	0	0	0
OTU03274	2	1	5	1	0	0	0	0	2	2	4	0	0	0	0	0
OTU03275	3	0	1	0	1	0	0	0	0	1	2	0	0	0	0	0
OTU03276	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU03277	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU03278	8	20	15	25	24	8	11	15	26	8	21	9	25	20	9	21
OTU03279	5	4	17	9	0	0	0	3	7	7	15	0	0	0	0	0
OTU03280	4	1	0	2	2	0	1	2	2	1	5	2	2	0	3	5
OTU03281	11	34	15	2	17	2	4	2	0	0	22	0	11	21	2	6
OTU03282	1	1	1	0	2	0	0	0	0	0	0	0	1	1	0	0
OTU03283	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
OTU03284	2	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0
OTU03285	6	4	9	6	12	4	1	9	14	4	9	6	8	8	6	10
OTU03286	4	3	2	1	3	1	1	0	1	1	2	1	2	3	0	0
OTU03287	2	0	1	0	19	2	0	1	0	0	18	0	3	3	0	2
OTU03288	7	1	0	3	6	2	1	1	3	2	2	1	4	0	1	2
OTU03289	2	0	2	2	3	1	4	0	1	1	1	0	3	0	2	3
OTU03290	11	23	9	15	12	4	13	7	16	14	23	6	24	11	9	21
OTU03291	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0
OTU03292	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU03293	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU03294	2	0	1	1	4	1	0	0	2	4	0	0	1	3	3	1
OTU03295	1	3	0	4	2	1	0	0	2	1	1	2	3	2	0	2
OTU03296	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0
OTU03297	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU03298	1	1	0	0	0	1	2	1	2	0	1	0	4	0	1	3
OTU03299	7	13	7	7	9	2	8	11	19	8	15	10	17	10	9	24
OTU03300	9	1	6	1	9	1	0	0	0	0	5	0	2	5	0	0
OTU03301	4	1	1	1	7	0	0	0	2	0	4	0	1	2	0	0
OTU03302	1	0	1	0	1	0	0	3	0	0	3	0	0	0	0	0
OTU03303	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU03304	4	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0
OTU03305	1	2	0	1	2	0	0	0	0	0	1	0	1	0	0	1
OTU03306	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU03307	1	0	2	1	0	0	0	0	1	1	3	0	0	0	0	0
OTU03308	2	0	1	0	6	0	0	0	0	0	2	0	3	1	0	0
OTU03309	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU03310	7	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0
OTU03311	4	1	1	1	0	0	0	1	4	0	6	0	0	0	0	0
OTU03312	6	0	4	3	9	0	0	0	0	0	4	0	3	4	0	0
OTU03313	9	8	11	7	9	5	16	6	18	12	10	7	9	5	8	7
OTU03314	4	2	3	0	17	2	0	0	0	0	2	0	2	0	0	0
OTU03315	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU03316	3	0	2	0	1	0	0	0	0	0	0	0	1	1	0	0
OTU03317	1	2	2	0	0	2	0	1	0	0	3	0	3	0	0	2
OTU03318	1	2	7	11	60	2	1	1	0	0	2	0	3	11	0	0
OTU03319	1	0	1	0	4	2	0	0	0	0	2	0	1	1	0	0
OTU03320	2	0	15	10	0	0	0	0	5	2	3	0	0	0	0	1
OTU03321	3	10	10	6	15	2	12	9	11	7	17	3	13	5	5	7
OTU03322	1	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0
OTU03323	5	3	2	4	6	0	4	5	3	4	6	4	6	7	4	2
OTU03324	2	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0
OTU03325	1	2	1	0	4	0	0	0	0	0	3	0	0	0	1	0
OTU03326	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU03327	6	2	5	0	21	2	1	1	1	0	3	0	6	9	2	0
OTU03328	2	2	4	1	2	3	0	0	3	2	3	3	2	2	4	7
OTU03329	2	1	4	0	2	2	0	1	0	1	1	0	0	0	0	0
OTU03330	2	5	3	5	13	6	5	8	11	4	6	6	8	9	3	11
OTU03331	14	13	24	11	1	0	0	10	27	14	35	0	0	0	0	0
OTU03332	4	0	2	0	6	2	0	1	1	0	1	0	1	1	0	0
OTU03333	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU03334	5	2	2	0	6	2	1	3	5	3	2	1	3	2	1	4
OTU03335	1	0	4	0	0	0	0	1	0	1	6	0	0	0	0	0
OTU03336	2	0	0	0	3	1	0	0	0	0	0	0	6	0	0	0
OTU03337	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU03338	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU03339	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU03340	4	1	5	1	0	0	0	2	7	3	14	0	0	0	0	0
OTU03341	6	1	0	0	12	0	0	0	0	0	0	0	1	1	0	0
OTU03342	4	0	1	6	10	1	1	1	0	0	3	0	1	3	0	0
OTU03343	3	1	1	1	2	0	1	0	0	0	2	0	1	0	0	0
OTU03344	5	5	11	4	0	0	0	3	10	6	14	0	0	0	0	0
OTU03345	1	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0
OTU03346	2	0	1	0	0	0	3	0	0	0	0	0	0	0	1	0
OTU03347	1	1	0	2	0	0	1	0	0	1	0	0	0	0	0	0
OTU03348	3	0	6	1	23	3	0	0	0	0	5	0	1	8	1	1
OTU03349	1	0	1	1	1	2	0	0	0	2	1	0	0	1	0	0
OTU03350	3	12	3	9	155	10	3	2	795	11	4	16	2	3	17	31
OTU03351	7	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0
OTU03352	1	0	3	0	1	0	0	0	0	0	0	0	4	0	0	0
OTU03353	1	0	2	0	2	0	0	0	0	0	1	0	0	3	0	0
OTU03354	4	3	1	3	5	0	1	0	3	2	2	1	0	0	1	3
OTU03355	6	2	0	0	5	0	0	2	2	1	11	0	2	1	0	0
OTU03356	8	19	8	19	24	7	12	5	29	12	20	5	15	9	11	19
OTU03357	3	4	12	8	6	1	4	5	7	4	10	1	3	3	4	6
OTU03358	1	0	1	0	6	0	2	0	0	0	0	0	0	2	0	0
OTU03359	2	1	9	10	0	0	0	3	7	5	7	0	0	0	0	0
OTU03360	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU03361	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU03362	5	3	0	1	7	0	0	0	0	0	1	0	1	0	0	0
OTU03363	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU03364	2	8	8	5	6	2	5	5	7	10	12	3	11	4	8	8
OTU03365	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU03366	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0
OTU03367	3	1	3	0	32	2	1	0	0	0	5	0	5	23	2	1
OTU03368	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU03369	2	1	1	0	4	1	3	0	8	1	4	1	2	2	1	4
OTU03370	4	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0
OTU03371	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU03372	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU03373	3	2	2	1	5	2	1	0	3	1	0	0	1	5	2	1
OTU03374	1	0	0	1	0	0	1	1	1	0	4	0	1	0	0	0
OTU03375	4	3	2	1	3	1	2	2	3	2	2	1	2	2	4	8
OTU03376	7	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
OTU03377	3	1	2	1	0	0	0	0	2	0	1	0	0	1	0	0
OTU03378	2	5	0	0	18	1	1	1	64	1	3	2	5	2	3	5
OTU03379	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU03380	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU03381	1	3	1	0	0	1	1	2	2	0	0	0	1	0	0	2
OTU03382	1	0	1	0	4	1	0	0	0	0	1	0	0	3	0	0
OTU03383	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU03384	5	8	0	0	0	0	0	0	1	1	9	0	0	0	0	0
OTU03385	2	2	2	1	0	1	0	0	1	1	0	0	0	0	0	0
OTU03386	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
OTU03387	1	1	2	1	4	1	0	3	3	5	5	0	3	4	0	1
OTU03388	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU03389	3	6	0	0	0	0	0	3	1	0	0	0	0	0	0	0
OTU03390	1	1	0	0	0	0	1	0	1	0	0	0	1	1	0	1
